id,title,brand,storage,ram,connectivity,size,generation,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a5f008505a390a74fbf90c7,Samsung Galaxy Tab S10 FE Plus 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 178,990",178990,Brand New,Colombo,samsung-galaxy-tab-s10-fe-plus-12-256gb-for-sale-colombo-62,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-fe-plus-12-256gb-for-sale-colombo-62,Mobile Care,True,1 month
6a5f0056655d92a669821c7b,Samsung Galaxy Tab S10 FE Plus 5G 8/128GB,Samsung,128GB,8GB,5G + WiFi,Unknown,Unknown,"Rs 183,990",183990,Brand New,Colombo,samsung-galaxy-tab-s10-fe-plus-5g-8-128gb-for-sale-colombo-10,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-fe-plus-5g-8-128gb-for-sale-colombo-10,Mobile Care,True,1 month
6a5f0015ee3b752efe43eb02,Samsunf Galaxy Tab S10 FE Plus 8/128GB,Other,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 154,990",154990,Brand New,Colombo,samsunf-galaxy-tab-s10-fe-plus-8-128gb-for-sale-colombo,https://ikman.lk/en/ad/samsunf-galaxy-tab-s10-fe-plus-8-128gb-for-sale-colombo,Mobile Care,True,1 month
6a5eff782f3a6c8ec0dae317,Samsung Galaxy Tab S10 FE 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 148,990",148990,Brand New,Colombo,samsung-galaxy-tab-s10-fe-12-256gb-for-sale-colombo-83,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-fe-12-256gb-for-sale-colombo-83,Mobile Care,True,1 month
6a5eff3aaece3d3d2fd32118,Samsung Galaxy Tab S10 FE 5G 8/128GB,Samsung,128GB,8GB,5G + WiFi,Unknown,Unknown,"Rs 158,990",158990,Brand New,Colombo,samsung-galaxy-tab-s10-fe-5g-8-128gb-for-sale-colombo-16,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-fe-5g-8-128gb-for-sale-colombo-16,Mobile Care,True,1 month
6a5efedf1bc50ce7f5cf3b86,Samsung Galaxy Tab S10 FE 8/128GB,Samsung,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 124,990",124990,Brand New,Colombo,samsung-galaxy-tab-s10-fe-8-128gb-for-sale-colombo-97,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-fe-8-128gb-for-sale-colombo-97,Mobile Care,True,1 month
6a5efdbc5198c3bb9183f53e,Samsung Galaxy Tab S10 Lite 6/128GB,Samsung,128GB,6GB,WiFi / Standard,Unknown,Unknown,"Rs 102,990",102990,Brand New,Colombo,samsung-galaxy-tab-s10-lite-6-128gb-for-sale-colombo-94,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-lite-6-128gb-for-sale-colombo-94,Mobile Care,True,1 month
6a5efe90aece3d3d2fd32109,Samsung Galaxy Tab S10 Lite 8/256GB,Samsung,256GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 124,990",124990,Brand New,Colombo,samsung-galaxy-tab-s10-lite-8-256gb-for-sale-colombo-19,https://ikman.lk/en/ad/samsung-galaxy-tab-s10-lite-8-256gb-for-sale-colombo-19,Mobile Care,True,1 month
6a5efd42c4a945d8addae31f,Samsung Galaxy Tab A11 Plus 6/128GB,Samsung,128GB,6GB,WiFi / Standard,Unknown,Unknown,"Rs 86,990",86990,Brand New,Colombo,samsung-galaxy-tab-a11-plus-6-128gb-for-sale-colombo-10,https://ikman.lk/en/ad/samsung-galaxy-tab-a11-plus-6-128gb-for-sale-colombo-10,Mobile Care,True,1 month
6a5efd02aece3d3d2fd320f3,Samsung Galaxy Tab A11 Plus 8/256GB,Samsung,256GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 103,990",103990,Brand New,Colombo,samsung-galaxy-tab-a11-plus-8-256gb-for-sale-colombo-19,https://ikman.lk/en/ad/samsung-galaxy-tab-a11-plus-8-256gb-for-sale-colombo-19,Mobile Care,True,1 month
6a5efcba655d92a669821c36,Samsung Galaxy Tab A11 8GB 128GB,Samsung,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 62,990",62990,Brand New,Colombo,samsung-galaxy-tab-a11-8gb-128gb-for-sale-colombo-90,https://ikman.lk/en/ad/samsung-galaxy-tab-a11-8gb-128gb-for-sale-colombo-90,Mobile Care,True,1 month
6a5b31ef12b961dcefff0760,Blackview Tab,Blackview,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 21,000",21000,Used,Colombo,for-sale-for-sale-colombo-20889,https://ikman.lk/en/ad/for-sale-for-sale-colombo-20889,,False,1 month
6a5efc6baa6435c379dae330,Samsung Galaxy Tab A11 4/64GB,Samsung,64GB,4GB,4G LTE / SIM,Unknown,Unknown,"Rs 45,990",45990,Brand New,Colombo,samsung-galaxy-tab-a11-4-64gb-for-sale-colombo-43,https://ikman.lk/en/ad/samsung-galaxy-tab-a11-4-64gb-for-sale-colombo-43,Mobile Care,True,1 month
6a5eecb05198c3bb9183f467,Samsung Galaxy S10 Plus 12/256GB with Keyboard,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 249,990",249990,Brand New,Colombo,samsung-galaxy-s10-plus-12-256gb-with-keyboard-for-sale-colombo-3,https://ikman.lk/en/ad/samsung-galaxy-s10-plus-12-256gb-with-keyboard-for-sale-colombo-3,X Mobile - Liberty,True,1 month
6a5ee8ed19577250f7bf8f93,Samsung Galaxy S10 Ultra 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 269,990",269990,Brand New,Colombo,samsung-galaxy-s10-ultra-12-256gb-for-sale-colombo-71,https://ikman.lk/en/ad/samsung-galaxy-s10-ultra-12-256gb-for-sale-colombo-71,X Mobile - Liberty,True,1 month
6a5ee8958223608c1fcf3a4d,Samsung Galaxy S10 FE Plus 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 177,990",177990,Brand New,Colombo,samsung-galaxy-s10-fe-plus-12-256gb-for-sale-colombo-89,https://ikman.lk/en/ad/samsung-galaxy-s10-fe-plus-12-256gb-for-sale-colombo-89,X Mobile - Liberty,True,1 month
6a5ee807c4a945d8addae1fd,Samsung Galaxy S10 FE Plus 8/128GB,Samsung,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 155,990",155990,Brand New,Colombo,samsung-galaxy-s10-fe-plus-8-128gb-for-sale-colombo-102,https://ikman.lk/en/ad/samsung-galaxy-s10-fe-plus-8-128gb-for-sale-colombo-102,X Mobile - Liberty,True,1 month
6a5ee73c0793da9127821b46,Samsung Galaxy S10 FE 8/128GB,Samsung,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 124,990",124990,Brand New,Colombo,samsung-galaxy-s10-fe-8-128gb-for-sale-colombo-104,https://ikman.lk/en/ad/samsung-galaxy-s10-fe-8-128gb-for-sale-colombo-104,X Mobile - Liberty,True,1 month
6a5eec3b7c18bd8e7717c6eb,Samsung Galaxy S11 5G 12/256GB with Keyboard,Samsung,256GB,12GB,5G + WiFi,Unknown,Unknown,"Rs 339,990",339990,Brand New,Colombo,samsung-galaxy-s11-5g-12-256gb-with-keyboard-for-sale-colombo-15,https://ikman.lk/en/ad/samsung-galaxy-s11-5g-12-256gb-with-keyboard-for-sale-colombo-15,X Mobile - Liberty,True,1 month
6a5eebf6ee3b752efe43ea07,Samsung Galaxy S11 12/128GB,Samsung,128GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 204,990",204990,Brand New,Colombo,samsung-galaxy-s11-12-128gb-for-sale-colombo-22,https://ikman.lk/en/ad/samsung-galaxy-s11-12-128gb-for-sale-colombo-22,X Mobile - Liberty,True,1 month
6a5eebbdaece3d3d2fd3200f,Samsung Galaxy S11 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 249,990",249990,Brand New,Colombo,samsung-galaxy-s11-12-256gb-for-sale-colombo-52,https://ikman.lk/en/ad/samsung-galaxy-s11-12-256gb-for-sale-colombo-52,X Mobile - Liberty,True,1 month
6a5eeb54ee3b752efe43ea01,Samsung Galaxy S11 Ultra 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 324,990",324990,Brand New,Colombo,samsung-galaxy-s11-ultra-12-256gb-for-sale-colombo-58,https://ikman.lk/en/ad/samsung-galaxy-s11-ultra-12-256gb-for-sale-colombo-58,X Mobile - Liberty,True,1 month
6a5eea1db7d246ed4583f44e,Samsung Galaxy S10 Lite 6GB 128GB,Samsung,128GB,6GB,WiFi / Standard,Unknown,Unknown,"Rs 104,000",104000,Brand New,Colombo,samsung-galaxy-s10-lite-6gb-128gb-for-sale-colombo-282,https://ikman.lk/en/ad/samsung-galaxy-s10-lite-6gb-128gb-for-sale-colombo-282,Mobile Care,True,1 month
6a5eea4c655d92a669821b36,Samsung Galaxy S10 Lite 8/256GB,Samsung,256GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 128,990",128990,Brand New,Colombo,samsung-galaxy-s10-lite-8-256gb-for-sale-colombo-25,https://ikman.lk/en/ad/samsung-galaxy-s10-lite-8-256gb-for-sale-colombo-25,X Mobile - Liberty,True,1 month
6a5eea17d2c9993e91c83d9f,Samsung Galaxy S10 Lite 6/128GB,Samsung,128GB,6GB,WiFi / Standard,Unknown,Unknown,"Rs 103,990",103990,Brand New,Colombo,samsung-galaxy-s10-lite-6-128gb-for-sale-colombo-58,https://ikman.lk/en/ad/samsung-galaxy-s10-lite-6-128gb-for-sale-colombo-58,X Mobile - Liberty,True,1 month
6a5ee9d6d2c9993e91c83d98,Samsung Galaxy S6 Lite 4/128GB,Samsung,128GB,4GB,WiFi / Standard,Unknown,Unknown,"Rs 92,990",92990,Brand New,Colombo,samsung-galaxy-s6-lite-4-128gb-for-sale-colombo-42,https://ikman.lk/en/ad/samsung-galaxy-s6-lite-4-128gb-for-sale-colombo-42,X Mobile - Liberty,True,1 month
6a5ee97baece3d3d2fd31ff5,Samsung Galaxy S10 Plus 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 224,990",224990,Brand New,Colombo,samsung-galaxy-s10-plus-12-256gb-for-sale-colombo-74,https://ikman.lk/en/ad/samsung-galaxy-s10-plus-12-256gb-for-sale-colombo-74,X Mobile - Liberty,True,1 month
