Title,Price,Location_Category,Link,Brand,Model,Condition,Description
𝗦𝗔𝗠𝗦𝗨𝗡𝗚 𝗚𝗔𝗟𝗔𝗫𝗬 𝗔𝟴 𝗧𝗔𝗕,"Rs 58,000",Unknown,https://ikman.lk/en/ad/for-sale-colombo-4038,,,,"🌸𝗦𝗔𝗠𝗦𝗨𝗡𝗚 𝗚𝗔𝗟𝗔𝗫𝗬 𝗔𝟴 𝗧𝗔𝗕🌸🩸𝐏𝐥𝐚𝐭𝐟𝐨𝐫𝐦 𝐎𝐒 𝐀𝐧𝐝𝐫𝐨𝐢𝐝 𝟏𝟏,🩸𝐔𝐩𝐠𝐫𝐚𝐝𝐚𝐛𝐥𝐞 𝐭𝐨 𝐀𝐧𝐝𝐫𝐨𝐢𝐝 𝟏𝟒, 𝐎𝐧𝐞 𝐔𝐈 𝟔🩸𝐂𝐡𝐢𝐩𝐬𝐞𝐭 𝐔𝐧𝐢𝐬𝐨𝐜 𝐓𝐢𝐠𝐞𝐫 𝐓𝟔𝟏𝟖 (𝟏𝟐 𝐧𝐦)🩸𝐂𝐏𝐔 𝐎𝐜𝐭𝐚-𝐜𝐨𝐫𝐞 (𝟐𝐱𝟐.𝟎 𝐆𝐇𝐳 𝐂𝐨𝐫𝐭𝐞𝐱-𝐀𝟕𝟓 & 𝟔𝐱𝟐.𝟎 𝐆𝐇𝐳 𝐂𝐨𝐫𝐭𝐞𝐱-𝐀𝟓𝟓)🩸𝐆𝐏𝐔 𝐌𝐚𝐥𝐢 𝐆𝟓𝟐 𝐌𝐏𝟐🩸𝐌𝐞𝐦𝐨𝐫𝐲 𝐂𝐚𝐫𝐝 𝐬𝐥𝐨𝐭 𝐦𝐢𝐜𝐫𝐨 𝐒𝐃𝐗𝐂 (𝐝𝐞𝐝𝐢𝐜𝐚𝐭𝐞𝐝 𝐬𝐥𝐨𝐭)🩸𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐥 𝟔𝟒𝐆𝐁 𝟒𝐆𝐁 𝐑𝐀𝐌🩸𝐌𝐚𝐢𝐧 𝐂𝐚𝐦𝐞𝐫𝐚 𝐒𝐢𝐧𝐠𝐥𝐞 𝟖 𝐌𝐏, 𝐀𝐅🩸𝐕𝐢𝐝𝐞𝐨 𝟏𝟎𝟖𝟎𝐩@𝟑𝟎𝐟𝐩𝐬🩸𝐒𝐞𝐥𝐟𝐢𝐞 𝐜𝐚𝐦𝐞𝐫𝐚 𝐒𝐢𝐧𝐠𝐥𝐞 𝟓 𝐌𝐏🩸𝐕𝐢𝐝𝐞𝐨 𝟏𝟎𝟖𝟎𝐩@𝟑𝟎𝐟𝐩𝐬📌𝗨𝘀𝗲𝗱📌𝗕𝗿𝗮𝗻𝗱 𝗡𝗲𝘄 𝗖𝗼𝗻𝗱𝗶𝘁𝗶𝗼𝗻📌𝗥𝗲𝘁𝗮𝗶𝗹 𝗔𝘃𝗮𝗶𝗹𝗮𝗯𝗹𝗲📌𝗪𝗲 𝗮𝗰𝗰𝗲𝗽𝘁 𝗮𝗹𝗹 𝗱𝗲𝗯𝗶𝘁, 𝗰𝗿𝗲𝗱𝗶𝘁 𝗰𝗮𝗿𝗱 & 𝗞𝗼𝗸𝗼 𝗣𝗮𝘆✅𝗥𝘀.𝟱𝟴,𝟬𝟬𝟬/=✅𝟬𝟯 𝗠𝗼𝗻𝘁𝗵𝘀 𝗪𝗮𝗿𝗿𝗮𝗻𝘁𝘆🏢𝗟𝗢𝗖𝗔𝗧𝗜𝗢𝗡 - 𝗝𝗡𝗖 𝗖𝗢𝗠𝗣𝗨𝗧𝗘𝗥𝗦, 𝗞𝗢𝗧𝗧𝗔𝗪𝗔.𝗵𝘁𝘁𝗽𝘀://𝗺𝗮𝗽𝘀.𝗮𝗽𝗽.𝗴𝗼𝗼.𝗴𝗹/𝗞𝟰𝟭𝟵𝗧𝗫𝟮𝟮𝗶𝘄𝗫𝟱𝗕𝟰𝟲𝟭𝟵"
HP Core i5 - 14th Gen | 8GB Ram 512GB SSD Backlit & Finger .P,"Rs 209,500",Unknown,https://ikman.lk/en/ad/hp-core-i5-14th-gen-8gb-ram-512gb-ssd-backlit-and-finger-p-for-sale-colombo,,,,"Laptop Outlet Pvt Ltd ආයතනයේ  මහරගම සහ පිලියන්දල ශාඛා ඇත.Original Brand new Laptop with Full Keyboard and IPS Screen..Laptop Configuration පහත සදහන් කර ඇත..Brand-new Core i5-14th Gen Laptop with Seal Box 💯 warranty Totally  3 Years  Laptop Configuration is mentioned below.✅ Intel Core i5 - 14th Generation ✅ 14th Generation✅ 512GB NVMe SSD✅ DDR5 8GB Ram ( Upgrade to 32GB) ✅ 15.6"" FHD LED Display👍Backlit Keyboard with Numeric Pad ✅ Intel HD Irish graphic 4GB on board VGA✅ USB x3✅ HDMI Output✅ 3.5mm Audio Output✅ Long Battery Life✅ Free Genuine Windows 11Pro💯 අවුරුද්දක වගකීමක් සහ වසර දෙකක සේවා වගකීමක්💯 One Year Full Warranty & Two Years Service Warrantyඅප ඉතාමත් උසස් තත්වයේ පවතින ලැප්ටොප් පරිගණක, ඕස්ට්‍රේලියා 🇦🇺 සහ සිංගප්පූරුවෙන් 🇸🇬 සෘජුව ආනයනය කරන අතර ඒ සදහා වගකීම් කාලයක්ද ලබාදෙනු ලැබේ. ව්‍යාජ උපකරණ ගෙන්වන ස්ථාන වෙත ගොස් ඔබගේ මුදලුත් ඉතාමත් වටිනා කාලය නාස්ති නොකරගන්න.We import high quality laptops directly from Australia 🇦🇺 and Singapore 🇸🇬 with warranty period. Don't waste your money and valuable time by going to fake equipment importers. 🗼VISA™️ & Master™️ Card Accept🗼🚚Cash on Delivery in Gampaha and Colombo🛵📦Island wide Delivery available📦📦දිවයින පුරා බෙදාහැරීමේ පහසුකම් ඇත📦 📌පැමිණෙන්න අපගේ ශාඛාවන් වෙත.📌 Visit our branches.🔴 මහරගම ශාඛාව - 28A, දෙහිවල පාර, මහරගම.🔴 Maharagama Branch - 28A, Dehiwala Road, Maharagama.🔴 ගම්පහ ශාඛාව - 21, වොර්ඩ් සිටි සාප්පු සංකීර්ණය , ක්වින්ස් පාර, ගම්පහ..🔴 Gampaha  Branch - 21 , Ward city Shopping Complex, Quins marry Rd, Gampaha"
HP EliteBook 850 G7 i5 - 10th Generation,"Rs 126,500",Unknown,https://ikman.lk/en/ad/hp-elitebook-850-g7-i5-10th-generation-for-sale-colombo,,,,"🖥️ HP EliteBook 850 G7 - 15.6 Inches✅ Processor: Intel Core i5 – 10th Generation✅ RAM: 16GB DDR4✅ Storage: 512 GB SSD✅ Display: 15.6 Inches✅ Warranty: 3 Months Laptop Bay WarrantyWe have a vast collection of Laptops, ranging from low to high price categories.📍 Locations: Colombo - https://maps.app.goo.gl/3L1JszVsENPJGfFd9Kandy - https://maps.app.goo.gl/kteo573rgtd1zu3a7📲 Call or WhatsApp us for more information.🌐 Website:🔗 www.laptopbay.lk🔍 Google:🔗 https://g.co/kgs/v8WNFKp"
"Microsoft Surface Pro 1807 (5th Gen) i5 7th gen 8GB RAM 256GB SSD 12.3""","Rs 59,500",Unknown,https://ikman.lk/en/ad/microsoft-surface-pro-1807-5th-gen-i5-7th-gen-8gb-ram-256gb-ssd-123-for-sale-colombo-13,,,,"Technical Specifications OverviewCore PerformanceProessor: Intel Core i5-7300U (7th Gen Kaby Lake, 2.6 GHz up to 3.5 GHz).Graphics: Intel HD Graphics 620.Cooling: Fanless (Silent Operation).Memory:  8 GB LPDDR3 RAM (.Storage: 256 GB PCIe NVMe SSD.Display & MultimediaScreen: 12.3-inch PixelSense Display.Resolution: 2736 x 1824 (267 PPI).Aspect Ratio: 3:2.Cameras: * Front: 5.0 MP (1080p video) with Windows Hello face sign-in.Rear: 8.0 MP autofocus (1080p video).Audio: 1.6W Stereo speakers with Dolby Audio Premium; Dual microphones.Connectivity & PortsWireless: Wi-Fi 5 (802.11ac), Bluetooth 4.1.Physical Ports:1 x Full-size USB 3.0 (Type-A).1 x Mini DisplayPort.1 x Surface Connect (charging/docking).microSDXC card reader.3.5mm Headphone jack.Surface Type Cover port.Physical BuildDimensions: 292 mm x 201 mm x 8.5 mm.Weight: Approximately 812 g (slightly heavier than the Wi-Fi model due to the LTE modem).Sensors: Ambient light sensor, Accelerometer, Gyroscope.🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🦋🥇 Brand New Condition🥇 03 Month Warranty🥇 Myitem.lk (Pvt) Ltd අප ආයතනය, පසුගිය අවුරුදු 10ක පුරා විශ්වාසය සහ ගුණාත්මකභාවය මෙන්ම විශිෂ්ට සේවාවක් ඔබට ලබා දිමට නොපසුබටව කටයුතු කර අතර අලෙවියේ ඔබගේ විශ්වාසනිය සැපයුම්කරුවා  ලෙස අපව තෝරාගැනිම පිළිබදව ස්තූතිවන්ත වෙමු.🥇 100% අලුත් තත්ත්වයෙන් යුත්, ශ්‍රී ලංකාව තුළ භාවිතා කර නොමැති ආනයනය කරන ලද ලැප්ටොප්දැ න් විශේෂ වට්ටම් යටතේ ලබා ගත ගැනිමට ඔබට හැකියාවක් ඇත.🥇 ඔබට අවශ්‍ය අනෙකුත් සියළුම  උපාංගද  මිළදි ගෙන වෙනස අත්විදින්න.***********************************************************************💰koko App එක භාවිතයෙන්ද ඔබට අවශ්‍ය සිමළුම උපාංග මාස තුනක ගෙවිමේ කාලයක් සහිතව අප ආයතනයෙන් ඔබට ලබා ගැනිමට පහසුව අප සලසා තිබේ.********************************************************************📲 වැඩි විස්තර දැන ගැනිම සදහා උදෑසන 9.30 සිට පස්වරු 6.30 දක්වා අපව අමතන්න.🚚 දිවයින පුරා බෙදාහැරිම් කටයුතු සිදු කරනු ලැබේ.📶 වැඩි විස්තර සදහා අපගේ වෙබ් පිටුවට දැනම පිවිසෙන්න 📍 Myitem.lk(pvt) LTDOld Road, Maharagama"
Apple iPad Pro M5 13 Inch Cellular 256GB|05,"Rs 409,990",Unknown,https://ikman.lk/en/ad/apple-ipad-pro-m5-13-inch-cellular-256gb05-for-sale-colombo-3,,,,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ www.emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★#Promotion_Price★ Apple iPad Pro 13inch M5  (256GB) Cellular  - Rs.409,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.🔴 KOKO PAYMENT AVAILABLE 👉 CREDIT CARD PAYMENTS ACCEPTED💳👉 NSTALLMENT PLAN AVAILABLE💳👉 Delivery can be Arranged...🛵🚛🔴 Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama.(google ""emobile Maharagama"" for Direction)🔴 Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 09.00 PM on Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්‍රි ලංකාවේ වෙනත් ප්‍රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)🔴☞ SAME DAY DELIVERY LOCATION - 🚩●Around COLOMBO 🚩●COLOMBO 🚩●BORELLA 🚩●KOLLOPITIYA 🚩●BAMBALAPITIYA 🚩●BATHTHARAMULLA 🚩 ●KOTTE 🚩●MALABE 🚩●BORELESGAMUWA 🚩●PILIYANDALA 🚩●NUGEGODA 🚩●MAHARAGAMA🚩●AVISSAWELLA 🚩●RATHNAPURA🚩●NEG0MBO 🚩●KADAWATHA 🚩●GAMPATHA 🚩●MORATUWA🚩●PANADURA 🚩●KALUTHARA 🚩●ATHUTHGAMA 🚩●GALLE 🚩●MATHARA ★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි. මෙම දීමනා මිලදී ගැනිමෙදි මෙම Post එක ඉදිරිපත් කරන්න.★"
Apple iPad Pro M5 11 Inch Wifi 256GB|05,"Rs 324,990",Unknown,https://ikman.lk/en/ad/apple-ipad-pro-m5-11-inch-wifi-256gb05-for-sale-colombo-1,,,,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ www.emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★#Promotion_Price★ Apple iPad Pro 11 M5  (256GB) WIFI - Rs.324,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.🔴 KOKO PAYMENT AVAILABLE 👉 CREDIT CARD PAYMENTS ACCEPTED💳👉 NSTALLMENT PLAN AVAILABLE💳👉 Delivery can be Arranged...🛵🚛🔴 Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama.(google ""emobile Maharagama"" for Direction)🔴 Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 09.00 PM on Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්‍රි ලංකාවේ වෙනත් ප්‍රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)🔴☞ SAME DAY DELIVERY LOCATION - 🚩●Around COLOMBO 🚩●COLOMBO 🚩●BORELLA 🚩●KOLLOPITIYA 🚩●BAMBALAPITIYA 🚩●BATHTHARAMULLA 🚩 ●KOTTE 🚩●MALABE 🚩●BORELESGAMUWA 🚩●PILIYANDALA 🚩●NUGEGODA 🚩●MAHARAGAMA🚩●AVISSAWELLA 🚩●RATHNAPURA🚩●NEG0MBO 🚩●KADAWATHA 🚩●GAMPATHA 🚩●MORATUWA🚩●PANADURA 🚩●KALUTHARA 🚩●ATHUTHGAMA 🚩●GALLE 🚩●MATHARA ★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි. මෙම දීමනා මිලදී ගැනිමෙදි මෙම Post එක ඉදිරිපත් කරන්න.★"
Apple iPad Pro M4 11 Cellular 256GB|05,"Rs 328,990",Unknown,https://ikman.lk/en/ad/apple-ipad-pro-m4-11-cellular-256gb05-for-sale-colombo-6,,,,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ www.emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★#Promotion_Price★ Apple iPad Pro 11 M4  (256GB) LTE - Rs.328,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.🔴 KOKO PAYMENT AVAILABLE 👉 CREDIT CARD PAYMENTS ACCEPTED💳👉 NSTALLMENT PLAN AVAILABLE💳👉 Delivery can be Arranged...🛵🚛🔴 Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama.(google ""emobile Maharagama"" for Direction)🔴 Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 09.00 PM on Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්‍රි ලංකාවේ වෙනත් ප්‍රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)🔴☞ SAME DAY DELIVERY LOCATION - 🚩●Around COLOMBO 🚩●COLOMBO 🚩●BORELLA 🚩●KOLLOPITIYA 🚩●BAMBALAPITIYA 🚩●BATHTHARAMULLA 🚩 ●KOTTE 🚩●MALABE 🚩●BORELESGAMUWA 🚩●PILIYANDALA 🚩●NUGEGODA 🚩●MAHARAGAMA🚩●AVISSAWELLA 🚩●RATHNAPURA🚩●NEG0MBO 🚩●KADAWATHA 🚩●GAMPATHA 🚩●MORATUWA🚩●PANADURA 🚩●KALUTHARA 🚩●ATHUTHGAMA 🚩●GALLE 🚩●MATHARA ★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි. මෙම දීමනා මිලදී ගැනිමෙදි මෙම Post එක ඉදිරිපත් කරන්න.★"
Apple iPad Air 8 M4 11Inch 256GB Wifi|05,"Rs 244,990",Unknown,https://ikman.lk/en/ad/apple-ipad-air-8-m4-11inch-256gb-wifi05-for-sale-colombo,,,,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ MAHARAGAMA emobile ප්‍රදර්ශනාගාරයට හා emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★★ අපගේන් මිලදි ගන්නා සැම දුරකතනයක් සදහාම TRCSL APPROVED.+ Genuine Sealed Pack.★ අපගේ මිල ගනන් වෙනස් වන්නේ නැත .,වංචනිකයන්ට අසු නොවන්න..!#Promotion_Price★ Apple Ipad Air 8 M4 11Inch 256GB WIFI - Rs.244,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.★★ If you Exchange Phones Please Call for Offers.★★★★ CREDIT CARD PAYMENTS ACCEPTED ★★★★ INSTALLMENT PLAN AVAILABLE ★★ 12/24/36 MONTH ★★Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama(google ""emobile.lk"" for Direction)• Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 05.00 PM On Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්රී ලංකාවේ වෙනත් ප්රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)●☞ DELIVERY LOCATION - .🚩 ●COLOMBO. 🚩 ●PILIYANDALA. 🚩 ●NUGEGODA. 🚩 ●MAHARAGAMA. 🚩 ●MORATUWA.🚩 ●PANADURA. 🚩 ●BORELLA. 🚩 ●KOLLOPITIYA. 🚩 ●BAMBALAPITIYA. 🚩 ●BATHTHARAMULLA. 🚩 ●KOTTE. 🚩 MALABE. 🚩 BORELESGAMUWA.★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි.මෙම දීමනා මිලදී ගැනිමෙදි මෙම post එක ඉදිරිපත් කරන්න.★005."
iPad 9GEN 64GB Wi-Fi,"Rs 58,900",Unknown,https://ikman.lk/en/ad/ipad-9gen-64gb-wi-fi-for-sale-gampaha-2,,,,"Apple iPad 9GEN Wi-Fi 128GB Very good conditionPhone with cable With warranty Free pouch Delivery can be arrange to door step🚚⭐️Credit card & Debit card accepted💳⭐️Exchange accepted any phone 📱 ⭐️Apple Samsung oppo vivoව්‍යාජ දුරකථන අලෙවි කරන්නන්ට නොරැවටෙන්න. 100% company warranty දුරකථන අඩුම මිලට අපෙන් පමණයි.දුරකථන විකිණිම,අමතර උපාංග විකිණිම හා දුරකථන මිලට ගැනිම.⭐️Shop Location kiribathgoda Makola.⭐️Online store island wide delivery arrange.SKN Mobile Kiribathgoda,Makola South Makola"
Apple iPad Air 8 M4 11Inch 128GB Wifi|05,"Rs 202,990",Unknown,https://ikman.lk/en/ad/apple-ipad-air-8-m4-11inch-128gb-wifi05-for-sale-colombo,,,,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ MAHARAGAMA emobile ප්‍රදර්ශනාගාරයට හා emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★★ අපගේන් මිලදි ගන්නා සැම දුරකතනයක් සදහාම TRCSL APPROVED.+ Genuine Sealed Pack.★ අපගේ මිල ගනන් වෙනස් වන්නේ නැත .,වංචනිකයන්ට අසු නොවන්න..!#Promotion_Price★ Apple Ipad Air 8 M4 11Inch 128GB WIFI - Rs.202,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.★★ If you Exchange Phones Please Call for Offers.★★★★ CREDIT CARD PAYMENTS ACCEPTED ★★★★ INSTALLMENT PLAN AVAILABLE ★★ 12/24/36 MONTH ★★Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama(google ""emobile.lk"" for Direction)• Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 05.00 PM On Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්රී ලංකාවේ වෙනත් ප්රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)●☞ DELIVERY LOCATION - .🚩 ●COLOMBO. 🚩 ●PILIYANDALA. 🚩 ●NUGEGODA. 🚩 ●MAHARAGAMA. 🚩 ●MORATUWA.🚩 ●PANADURA. 🚩 ●BORELLA. 🚩 ●KOLLOPITIYA. 🚩 ●BAMBALAPITIYA. 🚩 ●BATHTHARAMULLA. 🚩 ●KOTTE. 🚩 MALABE. 🚩 BORELESGAMUWA.★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි.මෙම දීමනා මිලදී ගැනිමෙදි මෙම post එක ඉදිරිපත් කරන්න.★005."
