Title,Price,Location_Category,Link
Asus VivoBook i7 12th GEN Laptop,"Rs 128,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i7-12th-gen-laptop-for-sale-colombo-51
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-246
N/A,N/A,N/A,N/A
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-247
MSI i3 13th GEN Laptop,"Rs 91,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-i3-13th-gen-laptop-for-sale-colombo-3
Acer Chromebook Laptop,"Rs 30,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-chromebook-laptop-for-sale-colombo
Lenovo i7 11thGen Thinkpad T14s 32GB RAM 14 inch FHD IPS Laptop,"Rs 139,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i7-11thgen-thinkpad-t14s-32gb-ram-14-inch-fhd-ips-laptop-for-sale-colombo
Acer Aspire A515 Core i3 Laptop,"Rs 53,000","Kalutara, Computers & Tablets",https://ikman.lk/en/ad/acer-aspire-a515-core-i3-laptop-for-sale-for-sale-kalutara
Acer i3 8th GEN Laptop,"Rs 40,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-i3-8th-gen-laptop-for-sale-colombo-2
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-9
Gamdias Aether P1 Pro RGB Laptop Cooling Pad,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/gamdias-aether-p1-pro-rgb-laptop-cooling-pad-for-sale-colombo-5
HP Envy ×360 2-in-1 Laptop 14-es0xxx,"Rs 157,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-envy-x360-2-in-1-laptop-14-es0xxx-for-sale-colombo
Asus i7 12th Gen Laptop,"Rs 122,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-i7-12th-gen-laptop-for-sale-colombo
Dell Latitude 3440 i3 4th Gen Laptop,"Rs 33,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-3440-i3-4th-gen-for-sale-kandy
HP Chromebook Laptop,"Rs 20,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-chromebook-laptop-for-sale-colombo-73
Laptop / Desktop Full Service,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-desktop-full-service-for-sale-gampaha-1
LAPTOP & DESKTOP REPAIR SERVICE,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-and-desktop-repair-service-for-sale-gampaha-1
HP Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-for-sale-colombo-4133
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-68
Dell i3 11th GEN Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-432
8GB DDR4 RAM LAPTOP,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/8gb-ddr4-ram-laptop-for-sale-colombo-1
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-7
HP AMD Ryzen 3 Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-3-laptop-for-sale-colombo-5
Dell i3 11th GEN Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-383
Acer Laptop,"Rs 118,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-laptop-for-sale-colombo-1462
Asus Vivobook Laptop X1502ZA,"Rs 120,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-laptop-x1502za-for-sale-colombo-1
Laptop,"Rs 68,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/urgent-laptop-for-sale-for-sale-gampaha
Dell i3 11th GEN Laptop,"Rs 58,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-441
N/A,N/A,N/A,N/A
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-84
Asus vivobook i3 13th GEN Laptop,"Rs 86,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-86
Hp Chromebook Laptop,"Rs 20,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-chromebook-laptop-for-sale-colombo-58
Dell i3 11th GEN Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-436
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-69
Dell Latitude 5420 i5 11th Gen 256GB NVME 8GB RAM 14 Inch-Laptop,"Rs 94,999","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-91
NEC Versapro Intel Celeron X360 8GB RAM 128GB Mini Laptop,"Rs 65,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/nec-versapro-intel-celeron-x360-8gb-ram-128gb-mini-laptop-for-sale-colombo-51
HP Victus i5 13th Gen + RTX 3050 6GB VGA / 512GB NVME SSD Laptop',"Rs 279,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-victus-i5-13th-gen-rtx-3050-6gb-vga-512gb-nvme-ssd-laptop-for-sale-colombo-51
16GB DDR 4 Laptop RAM,"Rs 14,500","Gampaha, Computer Accessories",https://ikman.lk/en/ad/16gb-ddr-4-laptop-ram-for-sale-gampaha
HP ProBook 440 G6 Laptop,"Rs 45,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-probook-440-g6-laptop-for-sale-for-sale-gampaha
Asus Expertbook I5 11th Gen 8GB RAM 500GB Laptop,"Rs 120,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/asus-expert-book-i5-11gen-8gb-ram-500gb-storage-laptop-used-for-sale-kandy
Acer Aspire5 I5 13th Gen Rtx 2050 Laptop,"Rs 176,500","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/acer-aspire5-i5-13th-gen-rtx-2050-laptop-for-sale-gampaha
Hp Elitebook 640 G9 Core I5 12TH GEN 8GB RAM 256GB SSD Laptop,"Rs 125,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-640-g9-core-i5-12th-gen-8gb-ram-256gb-ssd-laptop-for-sale-colombo-23
Dell Latitude 5430 CORE I5 12TH GEN 8GB RAM 256GB SSD USED LAPTOP,"Rs 112,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5430-core-i5-12th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-11
Ryzen 5 PRO Lenovo ThinkPad A285 16GB Ram 256GB NVMe Laptop#1,"Rs 59,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ryzen-5-pro-lenovo-thinkpad-a285-16gb-ram-256gb-nvme-laptop1-for-sale-colombo
Brand New HP Victus 15 Core i5 \13420H \RTX 3050 6GB Gaming Laptops,"Rs 279,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/brand-new-hp-victus-15-core-i5-13420h-rtx-3050-6gb-gaming-laptops-for-sale-colombo-14
Dell i3 12th Gen Laptop,"Rs 59,900","Kandy, Computers & Tablets",https://ikman.lk/en/ad/i3-12gen-dell-laptop-for-sale-kandy-1
Acer E1 VSWE2 I5 Laptop,"Rs 30,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-e1-vswe2-i5-laptop-for-sale-colombo
Hp i3 12th GEN Laptop,"Rs 75,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-i3-12th-gen-laptop-for-sale-colombo-220
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-78
Dell Latitude 7410 14 inch Full HD IPS i5 10th Gen laptop,"Rs 89,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7410-14-inch-full-hd-ips-i5-10th-gen-laptop-for-sale-colombo
Dell i3 11th Gen Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-380
HP Laptop Charger,"Rs 3,000","Colombo, Computer Accessories",https://ikman.lk/en/ad/hp-laptop-chargers-for-sale-colombo-2
Hp i3 12th GEN Laptop,"Rs 75,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-i3-12th-gen-laptop-for-sale-colombo-221
HP i3 12th GEN Laptop,"Rs 75,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-i3-12th-gen-laptop-for-sale-colombo-219
N/A,N/A,N/A,N/A
HP i5 8th Gen Laptop,"Rs 70,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hpi58th-gen-for-sale-colombo
HP 15 Ryzen 5 7520U 8GB DDR5 RAM 512GB NVMe AMD Radeon VGA Laptop,"Rs 189,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-15-ryzen-5-7520u-8gb-ddr5-ram-512gb-nvme-amd-radeon-vga-laptop-for-sale-colombo-12
HP i5 4th GEN Laptop,"Rs 32,500","Anuradhapura, Computers & Tablets",https://ikman.lk/en/ad/hp-i5-4th-gen-laptop-for-sale-anuradhapura-1
Dell Latitude 5520 Core i7 1185G7 11th Gen 16GB 512GB Laptop,"Rs 149,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5520-core-i7-1185g7-11th-gen-16gb-512gb-laptop-for-sale-colombo-8
Lenovo i5 13th gen laptop,"Rs 165,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-464
Dell G15 AMD Ryzen 5 -5600H -RTX 3050/4GB 8GB DDR4 512GB SSD laptop,"Rs 212,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-g15-amd-ryzen-5-5600h-rtx-3050-4gb-8gb-ddr4-512gb-ssd-laptop-for-sale-colombo-10
AMD Ryzen 7 5800H 16GB DDR4 RAM 512GB NVMe GeForce RTX 3060/6GB Laptop,"Rs 229,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/amd-ryzen-7-5800h-16gb-ddr4-ram-512gb-nvme-geforce-rtx-3060-6gb-laptop-for-sale-colombo-11
HP Laptop 17t (Core i7 13th Gen / 64GB RAM 2TB SSD) - UK Import,"Rs 375,000","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-17t-core-i7-13th-gen-64gb-ram-2tb-ssd-uk-import-for-sale-jaffna
Dell Laptop,"Rs 5,500","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/dell-laptop-for-sale-kurunegala-561
i7 Dell Laptop,"Rs 85,000","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/i7-dell-laptop-for-sale-jaffna
ASUS TUF AMD Ryzen 7 -260 -16GB DDR5-512GB NVMe RTX™ 5070 / 8GB Laptop,"Rs 529,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-tuf-amd-ryzen-7-260-16gb-ddr5-512gb-nvme-rtx-5070-8gb-laptop-for-sale-colombo-9
Brandnew Asus TUF A16 Ryzen 7 -16GB DDR5 RTX 4050 8GB VGA Gaming Laptop,"Rs 389,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/brandnew-asus-tuf-a16-ryzen-7-16gb-ddr5-rtx-4050-8gb-vga-gaming-laptop-for-sale-colombo-49
Dell Core I3 Laptop Full Set,"Rs 53,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/dell-core-i3-laptop-full-set-for-sale-kandy
HP AMD Ryzen 7 5700U 8GB RAM 512GB NVME Professional Laptop,"Rs 109,990","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-7-5700u-8gb-ram-512gb-nvme-professional-laptop-for-sale-gampaha
