price_lkr,log_price_lkr,norm_model,vram_gb,brand,G3Dmark,G2Dmark,log_G3Dmark,fp32_gflops,memory_bandwidth_gb_s,shader_units,gpu_base_clock_mhz,boost_clock_mhz,tdp_watts,perf_score,perf_per_watt,release_year,gpu_age_years,architecture,model_number,series_family,gpu_generation,ti_variant,bench_match,spec_match
6000.0,8.699514748210191,GeForce GT 710,2.0,NVIDIA,637.0,214.0,6.45833828334479,366.3,14.4,192.0,,,19.0,637.0,33.526315789473685,2014.0,12.0,Kepler 2.0,710.0,GT,1,0,GeForce GT 710,GeForce GT 710
4500.0,8.411832675758411,GeForce GT 710,1.0,NVIDIA,637.0,214.0,6.45833828334479,366.3,14.4,192.0,,,19.0,637.0,33.526315789473685,2014.0,12.0,Kepler 2.0,710.0,GT,1,0,GeForce GT 710,GeForce GT 710
5000.0,8.517193191416238,GeForce GT 710,2.0,NVIDIA,637.0,214.0,6.45833828334479,366.3,14.4,192.0,,,19.0,637.0,33.526315789473685,2014.0,12.0,Kepler 2.0,710.0,GT,1,0,GeForce GT 710,GeForce GT 710
4500.0,8.411832675758411,GeForce GT 730,1.0,GIGABYTE,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
7500.0,8.922658299524402,GeForce GT 730,2.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
8000.0,8.987196820661973,GeForce GT 730,4.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
3900.0,8.268731832117737,GeForce GT 730,1.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
7500.0,8.922658299524402,GeForce GT 730,2.0,EMTEK,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
4500.0,8.411832675758411,GeForce GT 730,1.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
4500.0,8.411832675758411,GeForce GT 730,1.0,ZOTAC,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
8800.0,9.082507000466299,GeForce GT 730,2.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
4500.0,8.411832675758411,GeForce GT 730,2.0,GIGABYTE,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
7900.0,8.974618038455112,GeForce GT 730,2.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
8999.0,9.104868739033948,GeForce GT 730,2.0,NVIDIA,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
4000.0,8.294049640102028,GeForce GT 730,1.0,GIGABYTE,812.0,238.0,6.70073110954781,268.8,28.8,96.0,,,49.0,812.0,16.571428571428573,2014.0,12.0,Fermi,730.0,GT,1,0,GeForce GT 730,GeForce GT 730
