Brand,Vehicle_Type,Title,Fuel Type,Gear,Price,Year,Location,Mileage,Listing_URL
Suzuki,Car,Suzuki Alto Sport 2015 Car,Petrol,Manual,"Rs. 3,995,000",2015,Kandana,"100,000 km",https://riyasewana.com/buy/suzuki-alto-sport-sale-kandana-12123816
Micro,Car,Micro Panda Cross 2013 Car,Petrol,Manual,"Rs. 3,125,000",2013,Moratuwa,1 km,https://riyasewana.com/buy/micro-panda-cross-sale-moratuwa-12123750
Proton,Car,Proton Saga 1987 Car,Petrol,Manual,"Rs. 595,000",1987,Galle,,https://riyasewana.com/buy/proton-saga-sale-galle-12123749
Suzuki,Car,Suzuki Alto 2016 Car,Petrol,Manual,Negotiable,2016,Kadawatha,"126,000 km",https://riyasewana.com/buy/suzuki-alto-sale-kadawatha-12123729
Hyundai,Car,Hyundai Eon 2015 Car,Petrol,Manual,"Rs. 4,490,000",2015,Colombo,"53,000 km",https://riyasewana.com/buy/hyundai-eon-sale-colombo-12123727
Suzuki,Car,Suzuki Alto Soprt 2011 Car,Petrol,Manual,"Rs. 3,300,000",2011,Bandaragama,1 km,https://riyasewana.com/buy/suzuki-alto-soprt-sale-bandaragama-12123689
Suzuki,Car,Suzuki Estilo 2011 Car,Petrol,Manual,"Rs. 3,690,000",2011,Kalmunai,"104,000 km",https://riyasewana.com/buy/suzuki-estilo-sale-kalmunai-12123682
Honda,Car,Honda Grand Civic 1988 Car,Petrol,Manual,"Rs. 1,675,000",1988,Matale,"230,000 km",https://riyasewana.com/buy/honda-grand-civic-sale-matale-12123676
Micro,Car,Micro Panda 2015 Car,Petrol,Manual,"Rs. 3,195,000",2015,Panadura,"67,800 km",https://riyasewana.com/buy/micro-panda-sale-panadura-12123661
Kia,Car,Kia Sephia Gtx 1998 Car,Petrol,Manual,"Rs. 4,275,000",1998,Ratnapura,"54,000 km",https://riyasewana.com/buy/kia-sephia-gtx-sale-ratnapura-12123611
Suzuki,Car,Suzuki Alto 2007 Car,Petrol,Manual,"Rs. 3,150,000",2007,Kuliyapitiya,,https://riyasewana.com/buy/suzuki-alto-sale-kuliyapitiya-12123609
Mitsubishi,Car,Mitsubishi Lancer 1982 Car,Petrol,Manual,"Rs. 985,000",1982,Hambantota,"42,000 km",https://riyasewana.com/buy/mitsubishi-lancer-sale-hambantota-12123608
Suzuki,Car,Suzuki Alto 2011 Car,Petrol,Manual,"Rs. 3,250,000",2011,Horana,"135,000 km",https://riyasewana.com/buy/suzuki-alto-sale-horana-12123592
Suzuki,Car,Suzuki Alto 800 LXI 2015 Car,Petrol,Manual,Negotiable,2015,Kadawatha,"105,236 km",https://riyasewana.com/buy/suzuki-alto-800-sale-kadawatha-12123581
Suzuki,Car,Suzuki Alto 800 LXI 2015 Car,Petrol,Manual,"Rs. 3,950,000",2015,Kadawatha,"110,235 km",https://riyasewana.com/buy/suzuki-alto-800-sale-kadawatha-12123554
Suzuki,Car,Suzuki Maruti 800 2010 Car,Petrol,Manual,"Rs. 2,550,000",2010,Mawanella,"66,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-mawanella-12123535
Suzuki,Car,Suzuki Alto 800 LXI 2015 Car,Petrol,Manual,Negotiable,2015,Gampaha,"103,568 km",https://riyasewana.com/buy/suzuki-alto-800-sale-gampaha-12123527
Nissan,Car,Nissan V11 1985 Car,Petrol,Manual,"Rs. 1,275,000",1985,Kadawatha,1 km,https://riyasewana.com/buy/nissan-v11-sale-kadawatha-12123487
Suzuki,Car,Suzuki Alto K10 2010 Car,Petrol,Manual,Negotiable,2010,Kalawana,"144,000 km",https://riyasewana.com/buy/suzuki-alto-k10-sale-kalawana-12123466
Suzuki,Car,Suzuki Baleno 1996 Car,Petrol,Manual,"Rs. 2,285,000",1996,Colombo,"185,000 km",https://riyasewana.com/buy/suzuki-baleno-sale-colombo-12123455
Suzuki,Car,Suzuki Alto 2015 Car,Petrol,Manual,Negotiable,2015,Galle,"80,000 km",https://riyasewana.com/buy/suzuki-alto-sale-galle-12123436
Mitsubishi,Car,Mitsubishi Lancer Flat Light GL 1996 Car,Petrol,Manual,Negotiable,1996,Ratnapura,"250,000 km",https://riyasewana.com/buy/mitsubishi-lancer-flat-sale-ratnapura-12123432
Suzuki,Car,Suzuki Maruti 1996 Car,Petrol,Manual,"Rs. 1,275,000",1996,Kandy,"150,000 km",https://riyasewana.com/buy/suzuki-maruti-sale-kandy-12123408
Suzuki,Car,Suzuki Maruti 800 2007 Car,Petrol,Manual,"Rs. 2,350,000",2007,Colombo,"75,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-colombo-12123396
Micro,Car,Micro PANDA 2012 Car,Petrol,Manual,"Rs. 2,595,000",2012,Matale,"85,000 km",https://riyasewana.com/buy/micro-panda-sale-matale-12123376
Tata,Car,Tata Indica 2014 Car,Petrol,Manual,"Rs. 2,650,000",2014,Colombo,1 km,https://riyasewana.com/buy/tata-indica-sale-colombo-12123358
Toyota,Car,Toyota Corolla AE110 1995 Car,Petrol,Manual,"Rs. 3,375,000",1995,Kurunegala,"12,345 km",https://riyasewana.com/buy/toyota-corolla-ae110-sale-kurunegala-12123346
Hyundai,Car,Hyundai Eon 2015 Car,Petrol,Manual,"Rs. 3,975,000",2015,Moneragala,"174,000 km",https://riyasewana.com/buy/hyundai-eon-sale-moneragala-12123308
Suzuki,Car,Suzuki Alto 800 LXI 2014 Car,Petrol,Manual,Negotiable,2014,Ratnapura,"102,000 km",https://riyasewana.com/buy/suzuki-alto-800-sale-ratnapura-12123307
Toyota,Car,Toyota Corolla 121 2000 Car,Petrol,Manual,"Rs. 5,090,000",2000,Kandy,"162,000 km",https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-12123300
Suzuki,Car,Suzuki Alto 2016 Car,Petrol,Manual,"Rs. 4,200,000",2016,Ampara,"93,500 km",https://riyasewana.com/buy/suzuki-alto-sale-ampara-12123291
Suzuki,Car,Suzuki Alto 2010 Car,Petrol,Manual,"Rs. 3,100,000",2010,Wennappuwa,"121,000 km",https://riyasewana.com/buy/suzuki-alto-sale-wennappuwa-11870487
Toyota,Car,Toyota Dx Wagon 1987 Car,Petrol,Manual,Negotiable,1987,Wennappuwa,"20,000 km",https://riyasewana.com/buy/toyota-dx-wagon-sale-wennappuwa-12123274
Suzuki,Car,Suzuki Maruti 800 2010 Car,Petrol,Manual,"Rs. 2,200,000",2010,Kuliyapitiya,"64,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-kuliyapitiya-12123270
Suzuki,Car,Suzuki Maruti 800 2005 Car,Petrol,Manual,"Rs. 2,180,000",2005,Badulla,"95,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-badulla-12123250
Micro,Car,Micro Panda 2011 Car,Petrol,Manual,"Rs. 2,875,000",2011,Colombo,"150,000 km",https://riyasewana.com/buy/micro-panda-sale-colombo-12123207
Micro,Car,Micro Panda 2013 Car,Petrol,Manual,"Rs. 2,950,000",2013,Gampaha,"127,850 km",https://riyasewana.com/buy/micro-panda-sale-gampaha-12123201
Mitsubishi,Car,Mitsubishi Lancer Cs1 2009 Car,Petrol,Manual,"Rs. 6,650,000",2009,Polonnaruwa,,https://riyasewana.com/buy/mitsubishi-lancer-cs1-sale-polonnaruwa-12123184
Honda,Car,Honda EG8 1992 Car,Petrol,Manual,"Rs. 1,500,000",1992,Kandy,"170,000 km",https://riyasewana.com/buy/honda-eg8-sale-kandy-12123144
Micro,Car,Micro Panda 2016 Car,Petrol,Manual,Negotiable,2016,Matara,"79,500 km",https://riyasewana.com/buy/micro-panda-sale-matara-12123133
Suzuki,Car,Suzuki Maruti 2005 Car,Petrol,Manual,"Rs. 2,190,000",2005,Colombo,"73,900 km",https://riyasewana.com/buy/suzuki-maruti-sale-colombo-12117646
Gallant,Car,Gallant Gallant 1998 Car,Petrol,Manual,"Rs. 625,000",1998,Mirigama,"1,000 km",https://riyasewana.com/buy/gallant-gallant-sale-mirigama-12123091
Suzuki,Car,Suzuki Alto 2017 Car,Petrol,Manual,"Rs. 4,275,000",2017,Kalutara,"96,343 km",https://riyasewana.com/buy/suzuki-alto-sale-kalutara-12123066
Mitsubishi,Car,Mitsubishi Lancer CS1 2004 Car,Petrol,Manual,"Rs. 5,650,000",2004,Kuliyapitiya,"120,000 km",https://riyasewana.com/buy/mitsubishi-lancer-cs1-sale-kuliyapitiya-12123053
Toyota,Car,Toyota Avanza 2012 Car,Petrol,Manual,"Rs. 6,290,000",2012,Battaramulla,"98,000 km",https://riyasewana.com/buy/toyota-avanza-sale-battaramulla-12123050
Suzuki,Car,Suzuki Alto 2008 Car,Petrol,Manual,"Rs. 2,995,000",2008,Colombo,"182,000 km",https://riyasewana.com/buy/suzuki-alto-sale-colombo-12123047
Mitsubishi,Car,Mitsubishi Lancer Box 1983 Car,Petrol,Manual,Negotiable,1983,Kurunegala,"95,000 km",https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kurunegala-12123044
Daihatsu,Car,Daihatsu Charade 1981 Car,Petrol,Manual,"Rs. 765,000",1981,Gampaha,1 km,https://riyasewana.com/buy/daihatsu-charade-sale-gampaha-12123027
Suzuki,Car,Suzuki Alto 2011 Car,Petrol,Manual,"Rs. 3,350,000",2011,Kurunegala,125 km,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-12123024
Toyota,Car,Toyota 110 1996 Car,Petrol,Manual,"Rs. 3,650,000",1996,Balangoda,,https://riyasewana.com/buy/toyota-110-sale-balangoda-12123023
