title,Brand_Cleaned,Size_Inches,Refresh_Rate_Hz,Resolution_Cleaned,Panel_Type,Is_Curved,Is_Gaming,Is_Frameless,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Acer 27 Inch \Brandnew Monitors \(144Hz).,Acer,27.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,37500.0
"Emark 24"" EW2427SH 144Hz IPS Full HD Frameless Gaming Monitor",Other,24.0,144.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,29990.0
"HP EliteDisplay E202 USED HD+ IPS MONITOR 20""",HP,20.0,60.0,HD,IPS,0,0,0,Used,Colombo,13500.0
Dell 22” Rotatable IPS Full HD HDMI Monitor Used Imported,Dell,22.0,60.0,1080p FHD,IPS,0,0,0,Used,Gampaha,14900.0
Lenovo 23” Frameless IPS Full HD Rotatable HDMI Monitor Used Imported,Lenovo,23.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,21500.0
"MSI Mag 325QF E18V 31.5” Inch ,NEW Gaming Monitor",MSI,24.0,60.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,94500.0
"Koorui GN06 27″ FHD 1080P IPS Brand New Monitor,",Other,27.0,60.0,1080p FHD,IPS,0,0,0,Brand New,Colombo,53500.0
Asus Rog Strix XG259CMS 24.5” Gaming Monitor.,Asus,24.0,60.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,110000.0
"Samsung 24″ IPS FHD 120Hz, Essential New Monitor",Samsung,24.0,120.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,35500.0
"Acer - EK251QP6 24.5INCH 144Hz IPS , Brand New Montor",Acer,24.5,144.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,34000.0
"Samsung 22″IPS 100Hz LS22D300GAEXXS, Brand New Monitor",Samsung,22.0,100.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,26500.0
Dell 24 IPS LED HDMI Frameless Monitor 1080P Full HD.,Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,18500.0
