title,Brand_Cleaned,Model_Cleaned,CPU_Cleaned,Generation_Cleaned,RAM_GB,Storage_Capacity_GB,Storage_Type,GPU_Tier,Is_Touchscreen,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Lenovo Thinkpad T480s |i5 8th Gen|8GB RAM |256GB NVme SSD,Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,69500.0
Lenovo ThinkPad T580 | i5 8th GEN 8GB RAM 256GB NVme SSD,Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,79999.0
Dell Inspiron 16 7620 2-in-1,Dell,Inspiron,Other / Dual Core,8,4.0,256.0,SSD,Integrated,1,Used,Colombo,159000.0
Asus TUF A15 –Ryzen 7 7445HS-16GB RAM +RTX 3050 4GB VGA +Gaming Laptop^~,Asus,Tuf,Ryzen 7,8,16.0,256.0,SSD,RTX 30-Series,0,Used,Colombo,337000.0
"Lenovo ThinkPad T480s Intel Core I5 8th Gen 8GB DDR4 RAM 256GB NVMe 14""",Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,72500.0
HP Victus i5 13th Gen RTX 3050 6GB VGA 512GB NVME SSD Laptop^~--,Hp,Victus,Core i5,13,8.0,512.0,SSD,RTX 30-Series,0,Used,Colombo,279000.0
HP i3 11Th Gen Laptop,Hp,Standard / Other,Core i3,11,8.0,256.0,SSD,Integrated,0,Used,Anuradhapura,58000.0
Acer Aspire Laptop,Acer,Aspire,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Kalutara,50000.0
ලැප්ටොප් පරිගණකය විකිණීම,Other,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Gampaha,170000.0
Asus Rog Strix G15 –CORE i7 10TH GEN + 144Hz -GTX 1650TI 4GB VGA +LAPTOP,Asus,Rog,Core i7,10,16.0,512.0,SSD,GTX Series,0,Used,Colombo,225000.0
"Hp Elitebook 840 G8 - I5 11TH GEN + 8GB RAM /256GB SSD -14 Inch Laptop,",Hp,Elitebook,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,105000.0
HP 255R G10 -Ryzen 5 7535U +16GB RAM -512GB Nvme SSD 15.6 Inch Laptop,Hp,Standard / Other,Ryzen 5,8,16.0,512.0,SSD,Integrated,0,Used,Colombo,228000.0
Hp Elitebook 850 G7 - I5 10th GEN + 8GB RAM /256GB SSD -15 INCH LAPTOP,Hp,Elitebook,Core i5,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,108000.0
"Hp probook 440 G8 - I5 11TH GEN + 8GB RAM /256GB SSD ,14 INCH ,LAPTOP",Hp,Probook,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,99000.0
LAPTOP - I5 11TH GEN / 8GB D4 RAM /250 M.2,Other,Standard / Other,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Kalutara,97500.0
LAPTOP - I5 6TH GEN / 4GB D4 RAM /250 M.2 500GB HDD 15.6 DISPLAY,Other,Standard / Other,Core i5,6,8.0,256.0,SSD,Integrated,0,Used,Kalutara,65000.0
Dell Latitude 5420 Intel I5 11th Gen,Dell,Latitude,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,75000.0
Asus Expertbook B1503CVA -Core 5-120U +8GB RAM /512GB SSD -Laptop,Asus,Expertbook,Other / Dual Core,8,8.0,512.0,SSD,Integrated,0,Used,Colombo,222000.0
Asus ZenBook 14 Laptop - 16GB RAM 512GB SSD,Asus,Zenbook,Other / Dual Core,8,16.0,512.0,SSD,Integrated,0,Used,Colombo,290000.0
Dell Latitude 5400-i5 8TH GEN/-8GB RAM_256GB SSS,Dell,Latitude,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,68700.0
DELL LATITUDE E7470 i5 6TH GEN-8GB_RAM 256GB SSD,Dell,Latitude,Core i5,6,8.0,256.0,SSD,Integrated,0,Used,Colombo,58600.0
Asus Rog Strix G15 –CORE i7 10TH GEN + 144Hz -GTX 1650TI 4GB VGA -LAPTOP,Asus,Rog,Core i7,10,16.0,512.0,SSD,GTX Series,0,Used,Colombo,224999.0
DELL LATITUDE 5320 – INTEL CORE I5 11TH GEN 16GB RAM 256GB NVME SSD,Dell,Latitude,Core i5,11,16.0,256.0,SSD,Integrated,0,Used,Colombo,105000.0
DELL LATITUDE 5420 i5 11TH GEN/-8GB RAM 256GB SSD,Dell,Latitude,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,81500.0
DELL LATITUDE 5420-i7 11TH GEN/-8GB RAM 256GB SSD,Dell,Latitude,Core i7,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,91800.0
Acer Aspire 16 (AL16-52P) - 13th Gen i3 | 8GB RAM 256GB SSD,Acer,Aspire,Core i3,13,8.0,256.0,SSD,Integrated,0,Used,Kandy,115000.0
HP Intel Core i5 12th Gen Laptop 8GB RAM 128GB SSD,Hp,Standard / Other,Core i5,12,8.0,128.0,SSD,Integrated,0,Used,Colombo,90000.0
Acer I5-13 Gen Laptop,Acer,Standard / Other,Core i5,13,8.0,256.0,SSD,Integrated,0,Used,Colombo,124000.0
DELL LATITUDE 7400 INTEL CORE I5 8TH GEN 8GB RAM 256GB NVME USED LAPTOP,Dell,Latitude,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,79000.0
Chrome Book,Other,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Gampaha,25000.0
"Lenovo ThinkPad T590 CORE I5 8TH GEN 8GB DDR4 RAM 256GB NVME 15.6"" used",Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,85000.0
Dell N5050 Laptop,Dell,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Colombo,15500.0
HP EliteBook AMD Ryzen 3 Pro 8GB Ram 256GB NVMe SSD,Hp,Elitebook,Ryzen 3,8,8.0,256.0,SSD,Integrated,0,Used,Matara,69990.0
Dell Laptop i3 7th Gen,Dell,Standard / Other,Core i3,7,8.0,256.0,SSD,Integrated,0,Used,Jaffna,75000.0
Toshiba Core i5 6th Gen 8GB Ram 256GB SSD Backlit Keyboard,Toshiba,Standard / Other,Core i5,6,8.0,256.0,SSD,Integrated,0,Used,Other,28000.0
Dell Inspiron Core i3 8th Gen 4GB Ram 1TB HDD,Dell,Inspiron,Core i3,8,4.0,1024.0,HDD,Integrated,0,Used,Matara,44990.0
