iter	Passed	Remaining
402	11869	5802
403	11898	5772
404	11925	5741
405	11951	5711
406	11979	5680
407	12007	5650
408	12035	5620
409	12061	5589
410	12091	5560
411	12118	5529
412	12145	5499
413	12172	5468
414	12199	5438
415	12232	5410
416	12262	5381
417	12290	5351
418	12317	5320
419	12346	5291
420	12365	5257
421	12395	5228
422	12422	5197
423	12450	5168
424	12481	5139
425	12524	5115
426	12565	5090
427	12601	5063
428	12626	5033
429	12661	5005
430	12693	4977
431	12722	4947
432	12759	4921
433	12786	4890
434	12816	4861
435	12844	4831
436	12874	4802
437	12904	4772
438	12932	4743
439	12962	4713
440	12993	4684
441	13034	4659
442	13078	4635
443	13113	4607
444	13143	4578
445	13172	4548
446	13201	4518
447	13233	4489
448	13263	4460
449	13290	4430
450	13318	4400
451	13345	4369
452	13374	4339
453	13401	4309
454	13429	4279
455	13457	4249
456	13488	4220
457	13519	4191
458	13550	4162
459	13582	4133
460	13610	4103
461	13638	4073
462	13665	4043
463	13692	4013
464	13712	3981
465	13739	3950
466	13768	3921
467	13796	3891
468	13825	3861
469	13851	3831
470	13878	3801
471	13906	3771
472	13934	3741
473	13959	3710
474	13988	3681
475	14016	3651
476	14043	3621
477	14071	3591
478	14098	3561
479	14126	3531
480	14154	3501
481	14182	3471
482	14208	3441
483	14237	3412
484	14268	3383
485	14297	3353
486	14324	3323
487	14352	3294
488	14380	3264
489	14408	3234
490	14436	3204
491	14464	3175
492	14490	3145
493	14520	3115
494	14546	3085
495	14578	3056
496	14607	3027
497	14634	2997
498	14661	2967
499	14688	2937
500	14716	2908
501	14743	2878
502	14780	2850
503	14815	2821
504	14843	2792
505	14871	2762
506	14898	2732
507	14925	2702
508	14953	2673
509	15000	2647
510	15028	2617
511	15055	2587
512	15082	2557
513	15110	2528
514	15137	2498
515	15165	2468
516	15193	2439
517	15221	2409
518	15250	2380
519	15279	2350
520	15307	2321
521	15335	2291
522	15365	2262
523	15392	2232
524	15419	2202
525	15460	2175
526	15488	2145
527	15515	2115
528	15543	2086
529	15570	2056
530	15596	2026
531	15623	1996
532	15650	1967
533	15675	1937
534	15702	1907
535	15729	1878
536	15758	1848
537	15785	1819
538	15814	1789
539	15841	1760
540	15867	1730
541	15895	1701
542	15927	1671
543	15946	1641
544	15971	1611
545	15998	1582
546	16025	1552
547	16054	1523
548	16083	1494
549	16115	1465
550	16143	1435
551	16171	1406
552	16201	1376
553	16233	1347
554	16263	1318
555	16291	1289
556	16318	1259
557	16347	1230
558	16374	1201
559	16402	1171
560	16429	1142
561	16456	1112
562	16482	1083
563	16510	1053
564	16537	1024
565	16564	995
566	16593	965
567	16620	936
568	16646	906
569	16673	877
570	16700	848
571	16728	818
572	16753	789
573	16781	760
574	16810	730
575	16837	701
576	16865	672
577	16892	642
578	16919	613
579	16947	584
580	16980	555
581	17007	525
582	17035	496
583	17062	467
584	17090	438
585	17116	408
586	17144	379
587	17177	350
588	17204	321
589	17232	292
590	17262	262
591	17288	233
592	17318	204
593	17346	175
594	17373	145
595	17401	116
596	17429	87
597	17456	58
598	17485	29
599	17514	0
