id,title,price_raw,price,condition,location,description,slug,link,shop_name,is_member,timestamp
6a8138f02e67e0d74ef6f76a,Apple iPhone 12 128GB (Used),"Rs 89,490",89490,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-12-128gb-used-for-sale-colombo-10749,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-10749,T.Phone Zone,True,16 days
69ce5a0bfb9b61a6391e8b2b,Apple iPhone 11 128GB (Used),"Rs 72,999",72999,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-11-128gb-used-for-sale-colombo-19542,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19542,Usedphones International Pvt Ltd 2,True,16 days
6a812c885cb21b74742bf824,Apple iPhone 12 Pro Max (Used),"Rs 100,000",100000,Used,Ampara,"Ampara, Mobile Phones",apple-iphone-12-pro-max-good-condition-used-for-sale-ampara-2,https://ikman.lk/en/ad/apple-iphone-12-pro-max-good-condition-used-for-sale-ampara-2,,False,16 days
695f6612834749575376d355,Apple iPhone 11 256GB (Used),"Rs 82,999",82999,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-11-256gb-used-for-sale-colombo-2118,https://ikman.lk/en/ad/apple-iphone-11-256gb-used-for-sale-colombo-2118,Usedphones International Pvt Ltd 2,True,16 days
6a81338ec1abea8e6ef6f6f6,Apple iPhone 11 Pro Max 512GB (Used),"Rs 87,900",87900,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-pro-max-512gb-used-for-sale-kandy-150,https://ikman.lk/en/ad/apple-iphone-11-pro-max-512gb-used-for-sale-kandy-150,ONEI Kandy,True,16 days
6a8132fe2e67e0d74ef6f715,Apple iPhone 11 Pro 256GB (Used),"Rs 82,900",82900,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-pro-256gb-used-for-sale-kandy-1633,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-kandy-1633,ONEI Kandy,True,16 days
6a812c460d4ac3687bcde221,Apple iPhone 11 Pro (Used),"Rs 68,000",68000,Used,Ratnapura,"Ratnapura, Mobile Phones",apple-iphone-11-pro-used-for-sale-ratnapura-569,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-ratnapura-569,,False,16 days
6a812bc87d05c8630a1b906a,Apple iPhone 11 Pro (Used),"Rs 75,000",75000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-pro-used-for-sale-kandy-1690,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-kandy-1690,,False,16 days
6a8129efb077c590b9db5707,Apple iPhone 12 Pro (Used),"Rs 99,500",99500,Used,Badulla,"Badulla, Mobile Phones",apple-iphone-12-pro-used-for-sale-badulla-177,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-badulla-177,,False,16 days
69e0c0ca9ac759032d8ea8a0,Apple iPhone 12 256GB/128GB CH (Used),"Rs 79,999",79999,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-12-256gb-128gb-ch-used-for-sale-colombo,https://ikman.lk/en/ad/apple-iphone-12-256gb-128gb-ch-used-for-sale-colombo,Smart Choice,True,16 days
69e0c033e16f1f584a896909,Apple iPhone 12 256BGB |128GB (Used),"Rs 79,999",79999,Used,Kalutara,"Kalutara, Mobile Phones",apple-iphone-12-256bgb-128gb-used-for-sale-kalutara,https://ikman.lk/en/ad/apple-iphone-12-256bgb-128gb-used-for-sale-kalutara,Smart Choice,True,16 days
6a811c31b077c590b9db56c4,Samsung Galaxy S23+ 5G/8/256GB (Used),"Rs 87,000",87000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s23-5g-8-256gb-used-for-sale-gampaha-14,https://ikman.lk/en/ad/samsung-galaxy-s23-5g-8-256gb-used-for-sale-gampaha-14,GL Smart Mobile,True,16 days
